Code,AirportName,City,Country,latitude,longitude,geoloc,city_sky,bigger_city
LYR,SVALBARD LONGYEAR,SVALBARD,NORWAY,78.246,15.466,"[78.24600000000001, 15.466]",LYRL-sky,FALSE
SOG,SOGNDAL HAUKASEN,SOGNDAL,NORWAY,61.156,7.136,"[61.156000000000006, 7.136]",SOGN-sky,FALSE
SRP,SOERSTOKKEN,STORD,NORWAY,59.792,5.341,"[59.792, 5.341]",STOS-sky,FALSE
SOJ,SORKJOSEN,SORKJOSEN,NORWAY,69.787,20.959,"[69.78699999999999, 20.959]",SORK-sky,FALSE
SSJ,STOKKA,SANDNESSJOEN,NORWAY,65.957,12.469,"[65.957, 12.469000000000001]",SANE-sky,FALSE
TOS,TROMSO,TROMSO,NORWAY,69.683,18.919,"[69.683, 18.919]",TROM-sky,FALSE
TRF,TORP,TORP,NORWAY,59.187,10.259,"[59.187, 10.259]",OSLO-sky,FALSE
TRD,TRONDHEIM VAERNES,TRONDHEIM,NORWAY,63.458,10.94,"[63.458, 10.94]",TRON-sky,FALSE
SVG,STAVANGER SOLA,STAVANGER,NORWAY,58.877,5.638,"[58.876999999999995, 5.638]",STAV-sky,FALSE
GDN,REBIECHOWO,GDANSK,POLAND,54.377,18.466,"[54.376999999999995, 18.465999999999998]",GADA-sky,FALSE
KRK,BALICE JP II INTERNATIONAL AIRPORT,KRAKOW,POLAND,50.078,19.785,"[50.078, 19.785]",KRAK-sky,FALSE
KTW,PYRZOWICE,KATOWICE,POLAND,50.474,19.08,"[50.474, 19.08]",KATO-sky,FALSE
POZ,LAWICA,POZNAN,POLAND,52.421,16.826,"[52.42100000000001, 16.826]",POZN-sky,FALSE
RZE,JASIONKA,RZESZOW,POLAND,50.11,22.019,"[50.11, 22.019000000000002]",RZES-sky,FALSE
SZZ,GOLENIOW,SZCZECHIN,POLAND,53.585,14.902,"[53.585, 14.902000000000001]",SZCZ-sky,FALSE
WAW,OKECIE,WARSAW,POLAND,52.166,20.967,"[52.166000000000004, 20.967]",WARS-sky,TRUE
WRO,STRACHOWICE,WROCLAW,POLAND,51.102,16.886,"[51.102, 16.886]",WROC-sky,FALSE
IEG,BABIMOST,ZIELONA GORA,POLAND,52.139,15.799,"[52.138999999999996, 15.799000000000001]",ZIEL-sky,FALSE
AGH,ANGELHOLM,ANGELHOLM,SWEDEN,56.296,12.847,"[56.29600000000001, 12.847000000000001]",HELT-sky,FALSE
RNB,RONNEBY,RONNEBY,SWEDEN,56.267,15.265,"[56.266999999999996, 15.265]",RONN-sky,FALSE
GOT,LANDVETTER,GOTHENBORG,SWEDEN,57.663,12.28,"[57.663000000000004, 12.28]",GOTH-sky,FALSE
JKG,JONKOPING,JOENKOEPING,SWEDEN,57.758,14.069,"[57.758, 14.069]",JONK-sky,FALSE
THN,TROLLHATTAN VANERSBORG,TROLLHATTAN,SWEDEN,58.318,12.345,"[58.318000000000005, 12.345]",TROL-sky,FALSE
MXX,MORA,MORA,SWEDEN,60.958,14.511,"[60.958, 14.511]",MORA-sky,FALSE
NYO,SKAVSTA,STOCKHOLM,SWEDEN,58.789,16.912,"[58.788999999999994, 16.912]",STOC-sky,TRUE
KID,KRISTIANSTAD,KRISTIANSTAD,SWEDEN,55.922,14.085,"[55.922, 14.085]",KRIS-sky,FALSE
KLR,KALMAR,KALKMAR,SWEDEN,56.685,16.288,"[56.685, 16.288]",KALM-sky,FALSE
MMX,STURUP,MALMOE,SWEDEN,55.53,13.371,"[55.53, 13.370999999999999]",MALM-sky,FALSE
HAD,HALMSTAD,HALMSTAD,SWEDEN,56.691,12.82,"[56.691, 12.82]",HALM-sky,FALSE
VXO,KRONOBERG,VAXJO,SWEDEN,56.929,14.728,"[56.928999999999995, 14.728]",VAXJ-sky,FALSE
EVG,SVEG,SVEG,SWEDEN,62.048,14.423,"[62.048, 14.423]",SVEG-sky,FALSE
GEV,GALLIVARE,GALLIVARE,SWEDEN,67.132,20.814,"[67.132, 20.814]",GALL-sky,FALSE
KRF,KRAMFORS SOLLEFTEA,KRAMFORS,SWEDEN,63.048,17.769,"[63.048, 17.769000000000002]",KRAM-sky,FALSE
LYC,LYCKSELE,LYCKSELE,SWEDEN,64.548,18.716,"[64.548, 18.715999999999998]",LYCK-sky,FALSE
SDL,SUNDSVALL HARNOSAND,SUNDSVALL,SWEDEN,62.528,17.444,"[62.528, 17.444000000000003]",SUND-sky,FALSE
OER,ORNSKOLDSVIK,ORNSKOLDSVIK,SWEDEN,63.408,18.99,"[63.408, 18.99]",ORNS-sky,FALSE
KRN,KIRUNA,KIRUNA,SWEDEN,67.822,20.337,"[67.822, 20.337]",KIRU-sky,FALSE
SFT,SKELLEFTEA,SKELLEFTEA,SWEDEN,64.625,21.077,"[64.625, 21.076999999999998]",SKEL-sky,FALSE
UME,UMEA,UMEA,SWEDEN,63.792,20.282,"[63.792, 20.282]",UMEA-sky,FALSE
VHM,VILHELMINA,VILHELMINA,SWEDEN,64.579,16.833,"[64.579, 16.833]",VILH-sky,FALSE
AJR,ARVIDSJAUR,ARVIDSJAUR,SWEDEN,65.59,19.282,"[65.59, 19.282]",ARVI-sky,FALSE
ORB,OREBRO,OREBRO,SWEDEN,59.224,15.038,"[59.224, 15.038]",OREB-sky,FALSE
VST,VASTERAS,VASTERAS,SWEDEN,59.589,16.634,"[59.589, 16.634]",STOC-sky,FALSE
LLA,KALLAX,LULEA,SWEDEN,65.544,22.122,"[65.544, 22.122]",LULE-sky,FALSE
OSD,FROSON,OSTERSUND,SWEDEN,63.194,14.502,"[63.193999999999996, 14.502]",OSTE-sky,FALSE
ARN,ARLANDA,STOCKHOLM,SWEDEN,59.652,17.919,"[59.652, 17.919]",STOC-sky,TRUE
BMA,BROMMA,STOCKHOLM,SWEDEN,59.354,17.941,"[59.354, 17.941]",STOC-sky,TRUE
BLE,BORLANGE,BORLANGE,SWEDEN,60.422,15.515,"[60.422, 15.515]",BORL-sky,FALSE
LPI,SAAB,LINKOEPING,SWEDEN,58.406,15.68,"[58.406000000000006, 15.68]",LINK-sky,FALSE
NRK,KUNGSANGEN,NORRKOEPING,SWEDEN,58.586,16.251,"[58.586000000000006, 16.250999999999998]",NORR-sky,FALSE
VBY,VISBY,VISBY,SWEDEN,57.663,18.346,"[57.663000000000004, 18.346]",VISB-sky,FALSE
RLG,LAAGE,LAAGE,GERMANY,53.918,12.279,"[53.918, 12.279000000000002]",ROST-sky,FALSE
BGN,BRUGGEN,BRUEGGEN,GERMANY,51.2,6.132,"[51.2, 6.132000000000001]",BGNC-sky,FALSE
SPC,LA PALMA,SANTA CRUZ DE LA PALMA,SPAIN,28.626,-17.756,"[28.625999999999998, -17.756]",LAPA-sky,FALSE
ALC,ALICANTE,ALICANTE,SPAIN,38.282,-0.558,"[38.282, -0.5579999999999999]",ALIC-sky,TRUE
LEI,ALMERIA,ALMERIA,SPAIN,36.844,-2.37,"[36.844, -2.37]",ALME-sky,FALSE
OVD,ASTURIAS,AVILES,SPAIN,43.563,-6.034,"[43.563, -6.034]",AVIL-sky,FALSE
BIO,BILBAO,BILBAO,SPAIN,43.301,-2.911,"[43.301, -2.911]",BILB-sky,TRUE
BCN,BARCELONA,BARCELONA,SPAIN,41.297,2.078,"[41.297, 2.0780000000000003]",BARC-sky,TRUE
BJZ,TALAVERA LA REAL,BADAJOZ,SPAIN,38.891,-6.821,"[38.891, -6.821000000000001]",BADA-sky,FALSE
LCG,A CORUNA,LA CORUNA,SPAIN,43.302,-8.377,"[43.302, -8.377]",LACO-sky,FALSE
GRX,ARMILLA,GRANADA,SPAIN,37.133,-3.636,"[37.133, -3.636]",GRAO-sky,FALSE
GRO,GIRONA,GERONA,SPAIN,41.901,2.76,"[41.901, 2.76]",GERO-sky,FALSE
GRX,GRANADA,GRANADA,SPAIN,37.189,-3.777,"[37.189, -3.7769999999999997]",GRAO-sky,FALSE
IBZ,IBIZA,IBIZA,SPAIN,38.873,1.373,"[38.873000000000005, 1.3730000000000002]",IBIZ-sky,FALSE
XRY,JEREZ,JEREZ,SPAIN,36.744,-6.06,"[36.744, -6.06]",JERE-sky,FALSE
MAD,BARAJAS,MADRID,SPAIN,40.472,-3.561,"[40.472, -3.5610000000000004]",MADR-sky,TRUE
AGP,MALAGA,MALAGA,SPAIN,36.674,-4.499,"[36.674, -4.499]",MALA-sky,FALSE
MAH,MENORCA,MENORCA,SPAIN,39.863,4.219,"[39.863, 4.218999999999999]",MENO-sky,FALSE
PMI,PALMA DE MALLORCA,PALMA DE MALLORCA,SPAIN,39.55,2.733,"[39.55, 2.733]",PALM-sky,TRUE
PNA,PAMPLONA,PAMPLONA,SPAIN,42.77,-1.646,"[42.77, -1.646]",PAMP-sky,FALSE
REU,REUS,REUS,SPAIN,41.147,1.167,"[41.147, 1.167]",REUS-sky,FALSE
EAS,SAN SEBASTIAN,SAN SEBASTIAN,SPAIN,43.356,-1.791,"[43.356, -1.791]",SANS-sky,FALSE
SCQ,SANTIAGO,SANTIAGO,SPAIN,42.896,-8.415,"[42.896, -8.415]",SANC-sky,FALSE
VLC,VALENCIA,VALENCIA,SPAIN,39.489,-0.481,"[39.489000000000004, -0.48100000000000004]",VALE-sky,TRUE
VLL,VALLADOLID,VALLADOLID,SPAIN,41.706,-4.852,"[41.706, -4.852]",VALL-sky,FALSE
VIT,VITORIA,VITORIA,SPAIN,42.883,-2.724,"[42.883, -2.7239999999999998]",VITO-sky,FALSE
VGO,VIGO,VIGO,SPAIN,42.232,-8.627,"[42.232, -8.627]",VIGO-sky,FALSE
SDR,SANTANDER,SANTANDER,SPAIN,43.427,-3.82,"[43.427, -3.82]",SANT-sky,FALSE
ZAZ,ZARAGOZA AB,ZARAGOZA,SPAIN,41.666,-1.041,"[41.666000000000004, -1.041]",ZARA-sky,TRUE
SVQ,SEVILLA,SEVILLA,SPAIN,37.418,-5.893,"[37.418, -5.893]",SEVI-sky,TRUE
LTQ,LE TOUQUET PARIS PLAGE,LE TOURQUET,FRANCE,50.515,1.627,"[50.515, 1.6269999999999998]",LETO-sky,FALSE
AGF,LA GARENNE,AGEN,FRANCE,44.175,0.591,"[44.175, 0.591]",AGEN-sky,FALSE
BOD,MERIGNAC,BORDEAUX,FRANCE,44.828,-0.716,"[44.828, -0.716]",BORD-sky,FALSE
EGC,ROUMANIERE,BERGERAC,FRANCE,44.825,0.519,"[44.825, 0.519]",BERG-sky,FALSE
PIS,BIARD,POITIERS,FRANCE,46.588,0.307,"[46.588, 0.307]",POIT-sky,FALSE
LIG,BELLEGARDE,LIMOGES,FRANCE,45.863,1.179,"[45.863, 1.179]",LIMO-sky,FALSE
TLS,BLAGNAC,TOULOUSE,FRANCE,43.629,1.364,"[43.629, 1.364]",TOUS-sky,TRUE
PUF,PAU PYRENEES,PAU,FRANCE,43.38,-0.419,"[43.38, -0.419]",PAUU-sky,FALSE
LRH,LHERM,LA ROCHELLE,FRANCE,43.449,1.263,"[43.449, 1.263]",LARO-sky,FALSE
