Code,AirportName,City,Country,latitude,longitude,geoloc,city_sky,bigger_city
NAP,CAPODICHINO,NAPLES,ITALY,40.886,14.291,"[40.885999999999996, 14.290999999999999]",NAPL-sky,TRUE
PSA,PISA,PISA,ITALY,43.684,10.393,"[43.684, 10.392999999999999]",PISA-sky,FALSE
FLR,PERETOLA,FIRENZE,ITALY,43.81,11.205,"[43.81, 11.205]",FLOR-sky,FALSE
PEG,PERUGIA,PERUGIA,ITALY,43.096,12.513,"[43.096000000000004, 12.513]",PERU-sky,FALSE
LJU,LJUBLJANA,LJUBLIANA,SLOVENIA,46.224,14.457,"[46.224, 14.457]",LJUB-sky,FALSE
MBX,MARIBOR,MARIBOR,SLOVENIA,46.48,15.686,"[46.48, 15.686]",MARI-sky,FALSE
GRZ,GRAZ MIL/CIV,GRAZ,AUSTRIA,47,15.433,"[47.0, 15.433]",GRAZ-sky,FALSE
INN,INNSBRUCK,INNSBRUCK,AUSTRIA,47.26,11.344,"[47.26, 11.344000000000001]",INNS-sky,FALSE
KLU,KLAGENFURT(AUS-AFB),KLAGENFURT,AUSTRIA,46.65,14.333,"[46.65, 14.333]",KLAG-sky,FALSE
LNZ,HORSCHING INTERNATIONAL AIRPORT (AUS - AFB),LINZ,AUSTRIA,48.233,14.183,"[48.233000000000004, 14.183]",LINZ-sky,FALSE
SZG,SALZBURG,SALZBURG,AUSTRIA,47.793,13.004,"[47.793, 13.004000000000001]",SALZ-sky,FALSE
VIE,SCHWECHAT,VIENNA,AUSTRIA,48.11,16.57,"[48.11, 16.57]",VIEN-sky,TRUE
LIS,LISBOA,LISBON,PORTUGAL,38.781,-9.136,"[38.781, -9.136000000000001]",LISB-sky,TRUE
GVA,GENEVA COINTRIN,GENEVA,SWITZERLAND,46.238,6.109,"[46.238, 6.109]",GENE-sky,FALSE
SIR,SION,SION,SWITZERLAND,46.219,7.327,"[46.218999999999994, 7.327000000000001]",SION-sky,FALSE
LUG,LUGANO,LUGANO,SWITZERLAND,46.004,8.911,"[46.004, 8.911]",LUGA-sky,FALSE
BRN,BERN BELP,BERN,SWITZERLAND,46.914,7.497,"[46.913999999999994, 7.497000000000001]",BERN-sky,FALSE
ZRH,ZURICH,ZURICH,SWITZERLAND,47.465,8.549,"[47.465, 8.549]",ZURI-sky,FALSE
ACH,ST GALLEN ALTENRHEIN,ALTENRHEIN,SWITZERLAND,47.485,9.561,"[47.485, 9.561]",ALTF-sky,FALSE
